Date,Price
2024/6/21,3495.62
2024/6/20,3503.28
2024/6/19,3528.75
2024/6/18,3545.59
2024/6/17,3536.2
2024/6/14,3541.53
2024/6/13,3526.13
2024/6/12,3544.12
2024/6/11,3542.88
2024/6/7,3574.11
2024/6/6,3592.25
2024/6/5,3594.79
2024/6/4,3615.67
2024/6/3,3588.75
2024/5/31,3579.92
2024/5/30,3594.31
2024/5/29,3613.52
2024/5/28,3609.17
2024/5/27,3635.71
2024/5/24,3601.48
2024/5/23,3641.79
2024/5/22,3684.45
2024/5/21,3676.16
2024/5/20,3690.96
2024/5/17,3677.97
2024/5/16,3640.36
2024/5/15,3626.06
2024/5/14,3657.05
2024/5/13,3664.69
2024/5/10,3666.28
2024/5/9,3664.56
2024/5/8,3630.22
2024/5/7,3659.01
2024/5/6,3657.88
2024/4/30,3604.39
2024/4/29,3623.91
2024/4/26,3584.27
2024/4/25,3530.28
2024/4/24,3521.62
2024/4/23,3506.22
2024/4/22,3530.9
2024/4/19,3541.66
2024/4/18,3569.8
2024/4/17,3565.4
2024/4/16,3511.11
2024/4/15,3549.08
2024/4/12,3475.84
2024/4/11,3504.24
2024/4/10,3504.71
2024/4/9,3533.49
2024/4/8,3536.41
2024/4/3,3567.8
2024/4/2,3580.68
2024/4/1,3595.65
2024/3/29,3537.48
2024/3/28,3520.96
2024/3/27,3502.79
2024/3/26,3543.75
2024/3/25,3525.76
2024/3/22,3545
2024/3/21,3581.09
2024/3/20,3585.38
2024/3/19,3577.63
2024/3/18,3603.53
2024/3/15,3569.99
2024/3/14,3562.22
2024/3/13,3572.36
2024/3/12,3597.49
2024/3/11,3589.26
2024/3/8,3544.91
2024/3/7,3529.72
2024/3/6,3551.05
2024/3/5,3565.51
2024/3/4,3540.87
2024/3/1,3537.8
2024/2/29,3516.08
2024/2/28,3450.26
2024/2/27,3494.79
2024/2/26,3453.36
2024/2/23,3489.74
2024/2/22,3486.67
2024/2/21,3456.87
2024/2/20,3410.85
2024/2/19,3403.81
2024/2/8,3364.93
2024/2/7,3343.63
2024/2/6,3311.69
2024/2/5,3200.42
2024/2/2,3179.63
2024/2/1,3217.71
2024/1/31,3215.35
2024/1/30,3245.04
2024/1/29,3303.96
2024/1/26,3333.82
2024/1/25,3342.92
2024/1/24,3277.11
2024/1/23,3231.93
2024/1/22,3218.9
2024/1/19,3269.78
2024/1/18,3274.73
2024/1/17,3229.08
2024/1/16,3300.88
2024/1/15,3280.92
2024/1/12,3284.17
2024/1/11,3295.67
2024/1/10,3277.13
2024/1/9,3292.5
2024/1/8,3286.06
2024/1/5,3329.11
2024/1/4,3347.05
2024/1/3,3378.3
2024/1/2,3386.35
2023/12/29,3431.11
2023/12/28,3414.54
2023/12/27,3336.36
2023/12/26,3324.79
2023/12/25,3347.45
2023/12/22,3337.23
2023/12/21,3330.87
2023/12/20,3297.5
2023/12/19,3334.04
2023/12/18,3329.37
2023/12/15,3341.55
2023/12/14,3351.96
2023/12/13,3369.61
2023/12/12,3426.8
2023/12/11,3419.45
2023/12/8,3399.46
2023/12/7,3391.28
2023/12/6,3399.6
2023/12/5,3394.26
2023/12/4,3460.14
2023/12/1,3482.88
2023/11/30,3496.2
2023/11/29,3488.31
2023/11/28,3518.52
2023/11/27,3511.94
2023/11/24,3538.01
2023/11/23,3561.52
2023/11/22,3544.42
2023/11/21,3581.07
2023/11/20,3576.32
2023/11/17,3568.07
2023/11/16,3572.36
2023/11/15,3607.25
2023/11/14,3582.06
2023/11/13,3579.41
2023/11/10,3586.49
2023/11/9,3612.83
2023/11/8,3611.07
2023/11/7,3619.76
2023/11/6,3632.61
2023/11/3,3584.14
2023/11/2,3554.19
2023/11/1,3571.03
2023/10/31,3572.51
2023/10/30,3583.77
2023/10/27,3562.39
