TIME,PRICE
2007/7/2,1519.40 
2007/7/3,1524.90 
2007/7/5,1525.40 
2007/7/6,1530.40 
2007/7/9,1531.80 
2007/7/10,1510.10 
2007/7/11,1518.80 
2007/7/12,1547.70 
2007/7/13,1552.50 
2007/7/16,1549.50 
2007/7/17,1549.40 
2007/7/18,1546.20 
2007/7/19,1553.10 
2007/7/20,1534.10 
2007/7/23,1541.60 
2007/7/24,1511.00 
2007/7/25,1518.10 
2007/7/26,1482.70 
2007/7/27,1459.00 
2007/7/30,1473.90 
2007/7/31,1455.30 
2007/8/1,1465.80 
2007/8/2,1472.20 
2007/8/3,1433.10 
2007/8/6,1467.70 
2007/8/7,1476.70 
2007/8/8,1497.50 
2007/8/9,1453.10 
2007/8/10,1453.60 
2007/8/13,1452.90 
2007/8/14,1426.50 
2007/8/15,1406.70 
2007/8/16,1411.30 
2007/8/17,1445.90 
2007/8/20,1445.50 
2007/8/21,1447.10 
2007/8/22,1464.10 
2007/8/23,1462.50 
2007/8/24,1479.40 
2007/8/27,1466.80 
2007/8/28,1432.40 
2007/8/29,1463.80 
2007/8/30,1457.60 
2007/8/31,1474.00 
2007/9/4,1489.40 
2007/9/5,1472.30 
2007/9/6,1478.50 
2007/9/7,1453.50 
2007/9/10,1451.70 
2007/9/11,1471.50 
2007/9/12,1471.60 
2007/9/13,1484.00 
2007/9/14,1484.20 
2007/9/17,1476.70 
2007/9/18,1519.80 
2007/9/19,1529.00 
2007/9/20,1518.80 
2007/9/21,1525.80 
2007/9/24,1517.70 
2007/9/25,1517.20 
2007/9/26,1525.40 
2007/9/27,1531.40 
2007/9/28,1526.80 
2007/10/1,1547.00 
2007/10/2,1546.60 
2007/10/3,1539.60 
2007/10/4,1542.80 
2007/10/5,1557.60 
2007/10/8,1552.60 
2007/10/9,1565.20 
2007/10/10,1562.50 
2007/10/11,1554.40 
2007/10/12,1561.80 
2007/10/15,1548.70 
2007/10/16,1538.50 
2007/10/17,1541.20 
2007/10/18,1540.10 
2007/10/19,1500.60 
2007/10/22,1506.30 
2007/10/23,1519.60 
2007/10/24,1515.90 
2007/10/25,1514.40 
2007/10/26,1535.30 
2007/10/29,1541.00 
2007/10/30,1531.00 
2007/10/31,1549.40 
2007/11/1,1508.40 
2007/11/2,1509.70 
2007/11/5,1502.20 
2007/11/6,1520.30 
2007/11/7,1475.60 
2007/11/8,1474.80 
2007/11/9,1453.70 
2007/11/12,1439.20 
2007/11/13,1481.00 
2007/11/14,1470.60 
2007/11/15,1451.20 
2007/11/16,1458.70 
2007/11/19,1433.30 
2007/11/20,1439.70 
2007/11/21,1416.80 
2007/11/23,1440.70 
2007/11/26,1407.20 
2007/11/27,1428.20 
2007/11/28,1469.00 
2007/11/29,1469.70 
2007/11/30,1481.10 
2007/12/3,1472.40 
2007/12/4,1462.80 
2007/12/5,1485.00 
2007/12/6,1507.30 
2007/12/7,1504.70 
2007/12/10,1516.00 
2007/12/11,1477.70 
2007/12/12,1486.60 
2007/12/13,1488.40 
2007/12/14,1468.00 
2007/12/17,1445.90 
2007/12/18,1455.00 
2007/12/19,1453.00 
2007/12/20,1460.10 
2007/12/21,1484.50 
2007/12/24,1496.50 
2007/12/26,1497.70 
2007/12/27,1476.40 
2007/12/28,1478.50 
2007/12/31,1468.40 
2008/1/2,1447.20 
2008/1/3,1447.20 
2008/1/4,1411.60 
2008/1/7,1416.20 
2008/1/8,1390.20 
2008/1/9,1409.10 
2008/1/10,1420.30 
2008/1/11,1401.00 
2008/1/14,1416.20 
2008/1/15,1381.00 
2008/1/16,1373.20 
2008/1/17,1333.20 
2008/1/18,1325.20 
2008/1/22,1310.50 
2008/1/23,1338.60 
2008/1/24,1352.10 
2008/1/25,1330.60 
2008/1/28,1354.00 
2008/1/29,1362.30 
2008/1/30,1355.80 
2008/1/31,1378.50 
2008/2/1,1395.40 
2008/2/4,1380.80 
2008/2/5,1336.60 
2008/2/6,1326.50 
2008/2/7,1336.90 
2008/2/8,1331.30 
2008/2/11,1339.10 
2008/2/12,1348.90 
2008/2/13,1367.20 
2008/2/14,1348.90 
2008/2/15,1350.00 
2008/2/19,1348.80 
2008/2/20,1360.00 
2008/2/21,1342.50 
2008/2/22,1353.10 
2008/2/25,1371.80 
2008/2/26,1381.30 
2008/2/27,1380.00 
2008/2/28,1367.70 
2008/2/29,1330.60 
2008/3/3,1331.30 
2008/3/4,1326.80 
2008/3/5,1333.70 
2008/3/6,1304.30 
2008/3/7,1293.40 
2008/3/10,1273.40 
2008/3/11,1320.70 
2008/3/12,1308.80 
2008/3/13,1315.50 
2008/3/14,1288.10 
2008/3/17,1276.60 
2008/3/18,1330.70 
2008/3/19,1298.40 
2008/3/20,1329.50 
2008/3/24,1349.90 
2008/3/25,1353.00 
2008/3/26,1341.10 
2008/3/27,1325.80 
2008/3/28,1315.20 
2008/3/31,1322.70 
2008/4/1,1370.20 
2008/4/2,1367.50 
2008/4/3,1369.30 
2008/4/4,1370.40 
2008/4/7,1372.50 
2008/4/8,1365.50 
2008/4/9,1354.50 
2008/4/10,1360.50 
2008/4/11,1332.80 
2008/4/14,1328.30 
2008/4/15,1334.40 
2008/4/16,1364.70 
2008/4/17,1365.60 
2008/4/18,1390.30 
2008/4/21,1388.20 
2008/4/22,1375.90 
2008/4/23,1379.90 
2008/4/24,1388.80 
2008/4/25,1397.80 
2008/4/28,1396.40 
2008/4/29,1390.90 
2008/4/30,1385.60 
2008/5/1,1409.30 
2008/5/2,1413.90 
2008/5/5,1407.50 
2008/5/6,1418.30 
2008/5/7,1392.60 
2008/5/8,1397.70 
2008/5/9,1388.30 
2008/5/12,1403.60 
2008/5/13,1403.00 
2008/5/14,1408.70 
2008/5/15,1423.60 
2008/5/16,1425.30 
2008/5/19,1426.60 
2008/5/20,1413.40 
2008/5/21,1390.70 
2008/5/22,1394.30 
2008/5/23,1375.90 
2008/5/27,1385.30 
2008/5/28,1390.80 
2008/5/29,1398.30 
2008/5/30,1400.40 
2008/6/2,1385.70 
2008/6/3,1377.70 
2008/6/4,1377.20 
2008/6/5,1404.00 
2008/6/6,1360.70 
2008/6/9,1361.80 
2008/6/10,1358.40 
2008/6/11,1335.50 
2008/6/12,1339.90 
2008/6/13,1360.00 
2008/6/16,1360.10 
2008/6/17,1350.90 
2008/6/18,1337.80 
2008/6/19,1342.80 
2008/6/20,1317.90 
2008/6/23,1318.00 
2008/6/24,1314.30 
2008/6/25,1322.00 
2008/6/26,1283.20 
2008/6/27,1278.40 
2008/6/30,1280.00 
2008/7/1,1284.90 
2008/7/2,1261.50 
2008/7/3,1262.90 
2008/7/7,1252.30 
2008/7/8,1273.70 
2008/7/9,1244.70 
2008/7/10,1253.40 
2008/7/11,1239.50 
2008/7/14,1228.30 
2008/7/15,1214.90 
2008/7/16,1245.40 
2008/7/17,1260.30 
2008/7/18,1260.70 
2008/7/21,1260.00 
2008/7/22,1277.00 
2008/7/23,1282.20 
2008/7/24,1252.50 
2008/7/25,1257.80 
2008/7/28,1234.40 
2008/7/29,1263.20 
2008/7/30,1284.30 
2008/7/31,1267.40 
2008/8/1,1260.30 
2008/8/4,1249.00 
2008/8/5,1284.90 
2008/8/6,1289.20 
2008/8/7,1266.10 
2008/8/8,1296.30 
2008/8/11,1305.30 
2008/8/12,1289.60 
2008/8/13,1285.80 
2008/8/14,1292.90 
2008/8/15,1298.20 
2008/8/18,1278.60 
2008/8/19,1266.70 
2008/8/20,1274.50 
2008/8/21,1277.70 
2008/8/22,1292.20 
2008/8/25,1266.80 
2008/8/26,1271.50 
2008/8/27,1281.70 
2008/8/28,1300.70 
2008/8/29,1282.80 
