TIME,USD_CNY
2007/7/2,7.605
2007/7/3,7.594
2007/7/4,7.595
2007/7/5,7.598
2007/7/6,7.601
2007/7/9,7.6015
2007/7/10,7.581
2007/7/11,7.563
2007/7/12,7.566
2007/7/13,7.57
2007/7/16,7.5675
2007/7/17,7.562
2007/7/18,7.566
2007/7/19,7.563
2007/7/20,7.57
2007/7/23,7.562
2007/7/24,7.5625
2007/7/25,7.557
2007/7/26,7.5654
2007/7/27,7.56
2007/7/30,7.567
2007/7/31,7.5725
2007/8/1,7.57
2007/8/2,7.572
2007/8/3,7.565
2007/8/6,7.561
2007/8/7,7.5703
2007/8/8,7.577
2007/8/9,7.5651
2007/8/10,7.574
2007/8/13,7.583
2007/8/14,7.5761
2007/8/15,7.5847
2007/8/16,7.603
2007/8/17,7.595
2007/8/20,7.5875
2007/8/21,7.59
2007/8/22,7.602
2007/8/23,7.584
2007/8/24,7.568
2007/8/27,7.56
2007/8/28,7.5555
2007/8/29,7.549
2007/8/30,7.5445
2007/8/31,7.545
2007/9/3,7.5449
2007/9/4,7.55
2007/9/5,7.5512
2007/9/6,7.5388
2007/9/7,7.538
2007/9/10,7.521
2007/9/11,7.523
2007/9/12,7.5217
2007/9/13,7.5105
2007/9/14,7.516
2007/9/17,7.523
2007/9/18,7.523
2007/9/19,7.513
2007/9/20,7.514
2007/9/21,7.503
2007/9/24,7.509
2007/9/25,7.513
2007/9/26,7.515
2007/9/27,7.5145
2007/9/28,7.506
2007/10/1,7.506
2007/10/2,7.506
2007/10/3,7.506
2007/10/4,7.506
2007/10/5,7.506
2007/10/8,7.5036
2007/10/9,7.517
2007/10/10,7.5115
2007/10/11,7.506
2007/10/12,7.5105
2007/10/15,7.528
2007/10/16,7.518
2007/10/17,7.516
2007/10/18,7.511
2007/10/19,7.5083
2007/10/22,7.5095
2007/10/23,7.5035
2007/10/24,7.4938
2007/10/25,7.482
2007/10/26,7.488
2007/10/29,7.475
2007/10/30,7.4715
2007/10/31,7.4715
2007/11/1,7.461
2007/11/2,7.4555
2007/11/5,7.454
2007/11/6,7.454
2007/11/7,7.4425
2007/11/8,7.4207
2007/11/9,7.4115
2007/11/12,7.412
2007/11/13,7.4335
2007/11/14,7.425
2007/11/15,7.422
2007/11/16,7.4245
2007/11/19,7.426
2007/11/20,7.4253
2007/11/21,7.411
2007/11/22,7.412
2007/11/23,7.3993
2007/11/26,7.3969
2007/11/27,7.3872
2007/11/28,7.395
2007/11/29,7.382
2007/11/30,7.398
2007/12/3,7.4025
2007/12/4,7.3985
2007/12/5,7.3933
2007/12/6,7.4135
2007/12/7,7.403
2007/12/10,7.396
2007/12/11,7.3805
2007/12/12,7.374
2007/12/13,7.3675
2007/12/14,7.371
2007/12/17,7.3796
2007/12/18,7.385
2007/12/19,7.377
2007/12/20,7.369
2007/12/21,7.365
2007/12/24,7.3477
2007/12/25,7.3301
2007/12/26,7.3448
2007/12/27,7.3179
2007/12/28,7.3041
2007/12/31,7.3041
2008/1/1,7.3041
2008/1/2,7.2938
2008/1/3,7.2729
2008/1/4,7.273
2008/1/7,7.2694
2008/1/8,7.2647
2008/1/9,7.2636
2008/1/10,7.2714
2008/1/11,7.2625
2008/1/14,7.2515
2008/1/15,7.2421
2008/1/16,7.2324
2008/1/17,7.2486
2008/1/18,7.2423
2008/1/21,7.241
2008/1/22,7.2392
2008/1/23,7.2322
2008/1/24,7.223
2008/1/25,7.2106
2008/1/28,7.1967
2008/1/29,7.1949
2008/1/30,7.191
2008/1/31,7.1822
2008/2/1,7.183
2008/2/4,7.1919
2008/2/5,7.184
2008/2/6,7.1896
2008/2/7,7.1896
2008/2/8,7.1896
2008/2/11,7.192
2008/2/12,7.19
2008/2/13,7.1977
2008/2/14,7.19
2008/2/15,7.18
2008/2/18,7.1655
2008/2/19,7.15
2008/2/20,7.144
2008/2/21,7.141
2008/2/22,7.1422
2008/2/25,7.152
2008/2/26,7.157
2008/2/27,7.1425
2008/2/28,7.1125
2008/2/29,7.1119
2008/3/3,7.104
2008/3/4,7.1064
2008/3/5,7.11
2008/3/6,7.106
2008/3/7,7.1114
2008/3/10,7.1065
2008/3/11,7.1031
2008/3/12,7.1014
2008/3/13,7.0904
2008/3/14,7.0906
2008/3/17,7.0832
2008/3/18,7.08
2008/3/19,7.0667
2008/3/20,7.0525
2008/3/21,7.053
2008/3/24,7.0555
2008/3/25,7.0519
2008/3/26,7.0294
2008/3/27,7.0109
2008/3/28,7.012
2008/3/31,7.0124
2008/4/1,7.012
2008/4/2,7.0189
2008/4/3,7.0175
2008/4/4,7.0175
2008/4/7,7.0015
2008/4/8,7.0012
2008/4/9,7.0021
2008/4/10,6.992
2008/4/11,7.0065
2008/4/14,6.9994
2008/4/15,6.9925
2008/4/16,6.9922
2008/4/17,6.9842
2008/4/18,6.9939
2008/4/21,7
2008/4/22,6.989
2008/4/23,6.9825
2008/4/24,6.9875
2008/4/25,7.01
2008/4/28,7.0024
2008/4/29,6.9849
2008/4/30,6.9885
2008/5/1,6.9885
2008/5/2,6.9885
2008/5/5,6.9883
2008/5/6,6.9877
2008/5/7,6.989
2008/5/8,7.0048
2008/5/9,6.9878
2008/5/12,6.9886
2008/5/13,6.9887
2008/5/14,7.0026
2008/5/15,6.9947
2008/5/16,6.9925
2008/5/19,6.9725
2008/5/20,6.9735
2008/5/21,6.9597
2008/5/22,6.9435
2008/5/23,6.9416
2008/5/26,6.9365
2008/5/27,6.95
2008/5/28,6.9444
2008/5/29,6.9379
2008/5/30,6.9425
2008/6/2,6.933
2008/6/3,6.9252
2008/6/4,6.9394
2008/6/5,6.948
2008/6/6,6.9231
2008/6/9,6.9231
2008/6/10,6.9199
2008/6/11,6.918
2008/6/12,6.9075
2008/6/13,6.902
2008/6/16,6.9005
2008/6/17,6.8914
2008/6/18,6.8822
2008/6/19,6.8775
2008/6/20,6.8801
2008/6/23,6.8742
2008/6/24,6.8702
2008/6/25,6.8653
2008/6/26,6.8657
2008/6/27,6.8618
2008/6/30,6.8544
2008/7/1,6.8564
2008/7/2,6.8531
2008/7/3,6.851
2008/7/4,6.859
2008/7/7,6.8674
2008/7/8,6.8581
2008/7/9,6.8599
2008/7/10,6.8429
2008/7/11,6.8341
2008/7/14,6.8449
2008/7/15,6.8212
2008/7/16,6.8109
2008/7/17,6.8209
2008/7/18,6.8168
2008/7/21,6.83
2008/7/22,6.8217
2008/7/23,6.8295
2008/7/24,6.8289
2008/7/25,6.819
2008/7/28,6.8375
2008/7/29,6.8257
2008/7/30,6.8265
2008/7/31,6.8315
2008/8/1,6.8425
2008/8/4,6.8518
2008/8/5,6.8555
2008/8/6,6.8487
2008/8/7,6.8632
2008/8/8,6.8575
2008/8/11,6.8577
2008/8/12,6.8659
2008/8/13,6.8572
2008/8/14,6.863
2008/8/15,6.87
2008/8/18,6.871
2008/8/19,6.8599
2008/8/20,6.8547
2008/8/21,6.8442
2008/8/22,6.8342
2008/8/25,6.8487
2008/8/26,6.848
2008/8/27,6.8375
2008/8/28,6.8291
2008/8/29,6.8487
2008/9/1,6.8253
2008/9/2,6.833
2008/9/3,6.8434
2008/9/4,6.836
2008/9/5,6.8423
2008/9/8,6.8374
2008/9/9,6.8386
2008/9/10,6.8385
2008/9/11,6.8487
2008/9/12,6.8375
2008/9/15,6.8487
2008/9/16,6.8491
2008/9/17,6.8379
2008/9/18,6.8345
2008/9/19,6.835
2008/9/22,6.8311
2008/9/23,6.8126
2008/9/24,6.824
2008/9/25,6.8204
2008/9/26,6.8451
2008/9/29,6.8451
2008/9/30,6.8451
2008/10/1,6.8451
2008/10/2,6.8451
2008/10/3,6.8451
2008/10/6,6.8429
2008/10/7,6.8152
2008/10/8,6.8136
2008/10/9,6.8205
2008/10/10,6.835
2008/10/13,6.835
2008/10/14,6.8312
2008/10/15,6.8315
2008/10/16,6.8339
2008/10/17,6.8341
2008/10/20,6.8301
2008/10/21,6.8336
2008/10/22,6.8347
2008/10/23,6.8355
2008/10/24,6.8441
2008/10/27,6.8523
2008/10/28,6.8388
2008/10/29,6.8415
2008/10/30,6.8382
2008/10/31,6.8395
2008/11/3,6.8381
2008/11/4,6.836
2008/11/5,6.8284
2008/11/6,6.8232
2008/11/7,6.8256
2008/11/10,6.8265
2008/11/11,6.8211
2008/11/12,6.8296
2008/11/13,6.83
2008/11/14,6.8243
2008/11/17,6.827
2008/11/18,6.8244
2008/11/19,6.83
2008/11/20,6.8345
2008/11/21,6.8307
2008/11/24,6.8254
2008/11/25,6.824
2008/11/26,6.8287
2008/11/27,6.8283
2008/11/28,6.8259
2008/12/1,6.8849
2008/12/2,6.8793
2008/12/3,6.8753
2008/12/4,6.8822
2008/12/5,6.8752
2008/12/8,6.8791
2008/12/9,6.8735
2008/12/10,6.8645
2008/12/11,6.8514
2008/12/12,6.8425
2008/12/15,6.8492
2008/12/16,6.845
2008/12/17,6.8353
2008/12/18,6.8345
2008/12/19,6.8445
2008/12/22,6.8518
2008/12/23,6.8485
2008/12/24,6.836
2008/12/25,6.8313
2008/12/26,6.8414
2008/12/29,6.8452
2008/12/30,6.8308
2008/12/31,6.823
2009/1/1,6.823
2009/1/2,6.823
2009/1/5,6.8305
2009/1/6,6.8365
2009/1/7,6.8335
2009/1/8,6.8347
2009/1/9,6.8355
2009/1/12,6.8366
2009/1/13,6.8342
2009/1/14,6.835
2009/1/15,6.8365
2009/1/16,6.8374
2009/1/19,6.8355
2009/1/20,6.841
2009/1/21,6.8397
2009/1/22,6.8375
2009/1/23,6.8397
2009/1/26,6.8397
2009/1/27,6.8397
2009/1/28,6.8397
2009/1/29,6.8397
2009/1/30,6.835
2009/2/2,6.8475
2009/2/3,6.8405
2009/2/4,6.834
2009/2/5,6.836
