Date,SB,AE,SE,PE,EM,ID,OBM,GM,CM,GN,TO,SR,GR,TR,IN,SC,DF,LG,GA,PW,MS,TCM,PR,CP,PM,HLI,PP,CHT,TM.1,FP,AV,WD,CE,EM.1,CPN,OE,SM,IM,GD,RB,PL,CP.1,LPF,PLT,FY,FD,OTE,IME,GA.1,CT,HT,SS,CAT,BK,RED,SP,AP,PT,PR.1,WA,MD,BP,BM,CE.1,AM,AP.1,TES,OO,TE,SE.1,GM.1,RM,MNM,ST,CR,CF,MS.1,OM,CM.1,AH,AC,AP.2,FY.1,CM.2,HLE,EAE,CA,CPM,PD,RT,HW,AT,EES,MP,IM.1,PC,OLI
2007/7/2,4494.16,3636.71,5197.03,10278.09,2519.77,2050.91,2705.61,4326.58,4281.38,2035.03,2453.63,8648.28,4221.68,3779.79,1009.15,6576.68,2558.56,2902.33,2888.41,2839.16,1002.08,2684.15,2513.15,2711.13,2006.91,1717.29,2011.89,2436.58,2161.27,4641.01,804.2,2819.76,1192.4,1322.14,1482.05,2517.49,923.08,2910.75,5832.54,1926.39,1879.45,2789.42,1817.76,1291.11,1110.06,1990.34,1317.28,417.33,3251.33,2366.22,2006.62,5807.7,954.32,2539.2,4044.92,3391.65,4903.15,3310.59,6463.17,2450.97,1241.42,1921.32,4498.55,1245.44,3506.66,2674.45,1654.14,956.87,4787.68,4822.73,2432.18,5426.67,2184.88,4556.84,1796.54,2187.94,10045.81,1722.79,4063.09,1782.2,1648.9,953.98,953.98,2672.99,3314.95,1567.66,1309.21,990.78,2546.55,2176.87,2520.8,2617.99,1080.13,3905.9,1979.18,3998.21,1717.29
2007/7/3,4525.02,3603.83,5430.78,10299.43,2466.73,2064.69,2731.76,4327.4,4367.34,2070.14,2446.16,8924.14,4269.83,3846.17,1035.83,6735.84,2657.33,2954.49,2888.95,2841.13,1003.48,2742.64,2592.61,2735.31,2021.19,1737.47,2077.52,2518.65,2191,4570,818.46,2919.48,1189.85,1302.09,1503.2,2566.73,917.54,3136.58,6416.08,1927.09,1930.55,2838.78,1880.87,1304.95,1122.04,2046.19,1336.28,415.89,3312.25,2358.95,2032.11,5856.09,980.65,2571.84,4130.41,3455.33,5065.55,3336.59,6593.13,2468.1,1279.59,1956.02,4522.67,1255.83,3583.44,2729.61,1654.14,960.24,4842.47,4943.94,2486.25,5869.14,2271.56,4624.64,1825.4,2195.35,10158.24,1818.74,4140.23,1821.64,1638.49,960.96,960.96,2697.18,3435.8,1589.31,1320.39,989.49,2594.79,2197.77,2537.64,2631.34,1107.66,3955.72,1963.49,4084.6,1737.47
2007/7/4,4588.48,3563.74,5267.38,10373.56,2438.41,1980.62,2639.91,4216.68,4236.93,2007.25,2381.12,8793.3,4144.36,3780.64,1010.36,6641.21,2681.73,2829.28,2878.23,2780.09,998.88,2698.66,2556.18,2692.99,1953.21,1705.34,1998.36,2490.07,2146.86,4537.25,783.02,2812.41,1174.09,1253.71,1450.34,2462.98,894.96,2983.91,6109.18,1885.07,1866.02,2797.43,1884.97,1281.83,1071.69,2004.36,1311.42,401.38,3202.5,2328.8,2004.27,5881.29,985.91,2499.95,4088.6,3344.4,4911.17,3234.65,6450.8,2464.78,1239.42,1885.91,4508.12,1215.29,3539.99,2675.96,1543.68,919.55,4645.53,4840.49,2431.67,5656.26,2213.17,4515.9,1797.58,2151.34,10118.89,1708.79,4129.94,1792.84,1624.21,932.82,932.82,2619.92,3390.85,1547.89,1278.18,1015.69,2542.98,2120.33,2475.22,2582.83,1111,3782.62,1874.26,3988.92,1705.34
2007/7/5,4310.53,3472.84,5067.46,9501.82,2253.95,1828.63,2438.96,4002.03,3996.75,1882.79,2241.96,8343.25,3872.73,3558.5,993.88,6488.17,2560.43,2614.81,2855.18,2601.22,980.6,2544.33,2399.39,2503.69,1801.01,1620.38,1841.84,2331.61,2064.21,4257.13,757.55,2630.64,1133.66,1155.72,1362.44,2304.54,857.94,2775.53,5924.64,1731.18,1763.83,2606.36,1848.18,1185.94,995.69,1916.55,1211.42,390.04,3037.04,2159.82,1828.7,5800.14,914.83,2435.24,3865.65,3147.48,4579.68,2977.59,5888.95,2233.37,1159.06,1796.46,4226.67,1127.73,3329.18,2533.06,1434.64,882.33,4274.67,4530.03,2279.12,5425.5,2094.35,4192.26,1663.56,2022.83,9879.97,1558.7,3944.76,1680.42,1557.22,925.83,925.83,2408.22,3250.9,1459.57,1204.31,958.56,2354.48,1943.6,2280.77,2397.54,1012.13,3479.34,1712.46,3726.01,1620.38
2007/7/6,4504.47,3554.24,5266.12,9909.98,2365.82,1918.87,2572.24,4155.24,4220.26,2001.38,2315.36,8809.98,4074.03,3746.71,1042.65,6982.03,2722.74,2781.78,2881.98,2729.47,990.53,2670.52,2475.56,2617.58,1911.04,1694.95,1999.23,2504.92,2186.34,4407.95,788.25,2799.97,1178.2,1197.07,1458.6,2409.77,900.79,2918.04,6133.32,1817.92,1863.5,2752.21,1906.07,1239.18,1058.33,1995.33,1279.57,417.1,3171.73,2279.05,1961.16,6005.59,983.28,2516.26,4035.82,3319.48,4760.1,3219.98,6212,2343.12,1214.95,1889,4394.86,1174.23,3504.43,2638.11,1508.29,918.98,4438.94,4765.08,2415.34,5728.76,2203.69,4408.17,1758.77,2152.11,10273.48,1647.04,4139.44,1763.11,1636.78,984.94,984.94,2570.19,3395.59,1530.04,1269.84,1007.16,2480.67,2047.87,2430.25,2515.62,1085.8,3659.73,1820.31,3894.12,1694.95
2007/7/9,4566.18,3559.79,5440.3,10285.49,2417.36,1938.35,2612.46,4248.83,4353.66,2066.44,2341.13,8948.26,4170.26,3825.61,1086.53,7211.67,2760.58,2834.34,2890.55,2787.7,997.74,2741.88,2559.6,2681.53,1968.57,1742.35,2057.7,2603.03,2241.08,4532.16,801.32,2961.92,1198.2,1216.95,1514.07,2467.99,920.29,3010.02,6146.82,1851.9,1899.48,2840,1989.82,1256.8,1097.06,2086.63,1316.19,420.12,3298.88,2401.06,2065.76,6434.67,1049.1,2606.91,4190.72,3419.01,4865.05,3314.22,6320.06,2401.86,1253.38,1940.77,4531.97,1195.64,3701.31,2719.23,1553.98,949.38,4547.67,4889.68,2485.23,5837.07,2260.82,4504.65,1807.56,2217.8,10411.21,1690.44,4395.05,1836.66,1696.36,1007.47,1007.47,2657.7,3544.9,1564.26,1304.63,1025.07,2557.71,2087.23,2479.68,2543.26,1108.23,3751.86,1884.32,3967.02,1742.35
2007/7/10,4475.08,3520.6,5416.13,9963.15,2364.18,1894.17,2519.93,4070,4224.31,2015.62,2300.34,8811.1,4062.04,3743.82,1106.23,7478.49,2833.84,2780.64,2880.37,2695.29,986.53,2683.73,2486.31,2598.12,1890.99,1686.6,1998.02,2560.54,2196.69,4321.62,775.09,2850.72,1168.3,1158.47,1484.66,2429.92,900.07,2955.38,6173.35,1763.93,1822.01,2732.32,1985.32,1201.94,1091.95,2058.54,1261.38,430.23,3269.32,2310.28,1979.24,6532.54,1026.72,2678.44,4175.16,3325.38,4732.68,3244.56,6145.44,2285.12,1211.86,1879.29,4496.83,1141.78,3562.38,2642.48,1453.53,920.69,4386.51,4746.88,2401.22,5647.04,2211.96,4382.89,1735.62,2217.54,9947.43,1729.86,4317.53,1752.88,1677.98,951.66,951.66,2572.9,3415.25,1506.64,1252.15,1023.4,2498.56,2015.62,2400.06,2505.1,1056.68,3606.69,1775.28,3875.72,1686.6
2007/7/11,4477.39,3525.89,5473.09,10100.67,2338.63,1973.97,2567.72,4129.25,4202.54,2049.57,2308.77,8773.81,4065.47,3747.76,1100.88,7320.74,2813.66,2831.44,2886.8,2695.64,992.95,2708.97,2515.62,2605.87,1912.83,1688.56,2027.98,2592.22,2207.69,4336.04,784.63,2845.92,1197.97,1181.24,1513.65,2431.54,908.06,3000.44,6609.68,1817.66,1834.85,2742.89,1953.98,1250.81,1107.19,2042.27,1282.91,435.64,3302.16,2302.87,1963.57,6478.18,1022.77,2684.99,4272.42,3332.73,4732.82,3282.36,6160.88,2286.33,1251.97,1898.54,4436.46,1152.93,3617.07,2649.44,1483.89,941.35,4517.12,4821.33,2425,5719.53,2211.05,4403.61,1752.24,2253.06,10408.4,1705.95,4404.41,1763.06,1665.66,968.98,968.98,2589.41,3423.35,1510.71,1261.31,1028.22,2568.73,2019.7,2415.12,2496.58,1066.07,3619.39,1797.37,3891.66,1688.56
2007/7/12,4530.55,3536.84,5466.28,10363.41,2414.45,1983.94,2598.63,4150.22,4187.41,2053.29,2333.97,9013.52,4091.2,3784.93,1146.15,7297.03,2719.15,2847.09,2897.52,2723.77,993.98,2717.03,2512.63,2651.48,1930,1699.17,2042,2577.07,2200.63,4339.77,782.72,2843.21,1180.9,1172.94,1515.86,2409.31,905.66,2978.59,6645.08,1840.27,1873.87,2753.67,1933.96,1228.87,1094.24,2042.26,1294.22,435.99,3336.41,2334.13,1944.48,6640.99,1025.4,2724.79,4295.83,3345.7,4760.11,3305.37,6343.24,2357.81,1279.53,1917.91,4390.35,1153.24,3601.78,2657.44,1490.63,955.45,4544.01,4868.96,2450.19,5639.78,2183.05,4433.37,1764.52,2262.08,10377.48,1698.44,4372.04,1785.02,1658.99,976.2,976.2,2599.16,3453.89,1504.81,1275.7,994.2,2563.37,2046.38,2416.15,2519.19,1113.82,3671.87,1852.83,4044.37,1699.17
2007/7/13,4596.87,3536.35,5545.91,10279.68,2375.48,2042.36,2577.16,4152,4266.96,2029.31,2350.8,9000.93,4100.75,3782.27,1146.35,7358.13,2698.66,2861.9,3150.98,2771.32,992.84,2728.27,2522.4,2626.03,1924.13,1711.72,2025.04,2526.72,2179.25,4244.89,775.46,2827.17,1196.57,1153.44,1502.1,2378.23,891.25,2982.9,6533.99,1834.48,1893.81,2742.31,1931.25,1217.07,1091.44,2043.44,1297.66,428.39,3277.35,2311.22,1937.76,6647.73,1012.24,2690.78,4290.08,3324.91,4882.12,3351.05,6384.2,2350.02,1265.06,1912.8,4414.19,1153.6,3596.74,2671.46,1451.76,939.33,4451.86,4860.39,2448.1,5640.54,2171.72,4436.38,1752.48,2262.69,10312.84,1650.83,4337.06,1773.58,1634.89,967.33,967.33,2586.12,3494.43,1522.72,1279.24,967.58,2550.78,2042.08,2410.9,2507.36,1128.22,3687,1864.75,4030.34,1711.72
